,AcouOccupancyR,Bioac,Ht,Hf,ACI,AEI,M,NDSI,ADI,NPIC,ASA,BN,SNR,AA,CAE,ADAE,RMS,NA,wav
28,0.148592797,34.85372812,0.980608368,0.972092961,1655.877302,0.952273,9.79E-12,-0.863155154,0.061555,0,0,0,0,0,0,0,116.2818975,-13.64532825,15116_PreEvent/015116_20150510_030000.wav
29,0.140917142,34.68247076,0.980949357,0.972312881,1653.690027,0.947828,9.99E-12,-0.842488452,0.152613,0,0,0,0,0,0,0,104.5699343,-15.97776607,15116_PreEvent/015116_20150510_040000.wav
30,0.163944105,37.48719472,0.980772651,0.973528351,1706.312165,0.871483,9.80E-12,-0.808373201,1.097873,5,0,0,0,0,0,0,102.3577911,-10.69952262,15116_PreEvent/015116_20150510_050000.wav
31,0.540838418,51.21563408,0.976755944,0.965846987,1809.787043,0.76511,9.13E-12,0.365660531,1.912975,12,0,0,0,0,0,0,126.3404021,-15.11670537,15116_PreEvent/015116_20150510_060000.wav
32,0.112773076,53.60658953,0.973828023,0.965389844,1735.178698,0.890185,9.03E-12,0.217756153,1.046593,17,0,0.003703704,0.421454037,0.017516237,0.071428571,0.053405896,236.3516773,21.51424138,15116_PreEvent/015116_20150510_070000.wav
33,0.077543791,54.78956481,0.868707346,0.946599155,1937.576857,0.77778,2.42E-12,0.817251445,1.831916,16,0.201993694,0.003703704,1,0.100570754,0.171428571,0.394739229,2904.841162,877.0586328,15116_PreEvent/015116_20150510_080000.wav
34,0.098996261,45.35215086,0.873146006,0.940710121,1886.155537,0.785038,2.26E-12,0.829924521,1.791053,20,0.249012145,0.003703704,1,0.11080496,0.164285714,0.499733807,3263.231351,228.2055902,15116_PreEvent/015116_20150510_090000.wav
35,0.008266089,52.72709777,0.975000915,0.961938309,1768.326763,0.906794,9.30E-12,-0.096043476,0.794994,15,0,0.003703704,0.627614371,0.011021452,0.057142857,0.069659864,268.218173,130.0792283,15116_PreEvent/015116_20150510_100000.wav
36,0.036803779,50.53389269,0.977172561,0.960449784,1741.479256,0.906612,9.30E-12,-0.616562274,0.861195,7,0,0.003703704,0.497062514,0.122220035,0.178571429,0.053870295,427.6978106,279.2075951,15116_PreEvent/015116_20150510_110000.wav
37,0.028144066,63.80616458,0.941545345,0.947678329,1721.180087,0.81889,6.95E-12,0.786321791,1.620496,18,0.036954076,0.003703704,0.957347283,0.097815391,0.135714286,0.191870152,1083.913396,1196.49177,15116_PreEvent/015116_20150510_120000.wav
38,0.000393623,47.10846059,0.969279506,0.963791767,1735.585014,0.954365,7.96E-12,-0.955171198,0.014345,8,0.297707586,0.003703704,0.85375895,0.749458768,1,0.09481089,1545.784998,797.5788323,15116_PreEvent/015116_20150510_130000.wav
39,0.00118087,45.52696906,0.968626258,0.96459003,1721.346157,0.954545,7.72E-12,-0.985194217,0,2,0.394455841,0.003703704,0.915801056,0.865380831,1,0.128888207,2230.776851,1667.715204,15116_PreEvent/015116_20150510_140000.wav
40,0.004526668,50.5216991,0.963345793,0.961482705,1900.888538,0.954351,7.07E-12,-0.981000616,0.015315,3,0.594138723,0.003703704,1,0.890179099,1,0.381914819,4936.090703,-563.5705638,15116_PreEvent/015116_20150510_150000.wav
41,0.035032474,69.7919727,0.956715473,0.951770992,1879.658048,0.918609,5.92E-12,-0.5692958,0.750046,12,0.630246439,0.003703704,1,0.93682346,1,0.282544313,6181.16041,-991.8833592,15116_PreEvent/015116_20150510_160000.wav
42,0.008266089,48.58372662,0.961766057,0.95890803,1864.974693,0.954545,6.68E-12,-0.985971545,0,4,0.600097293,0.003703704,1,0.951977957,1,0.282259037,5273.923678,-826.2831352,15116_PreEvent/015116_20150510_170000.wav
